plan_id,host_mno,plan_name,benefit_category,benefit_name,benefit_service,benefit_tier,benefit_value_won,user_pay_won,is_selectable,select_group,benefit_detail,source_url
30945,KT,무제한 15GB+1M(올리브영 매월 5000원),사은품/페이백,"3대 마트 상품권, 네이버페이 2만원",,,20000,,False,,"대상: 바로유심/바로배송유심 구매・개통 후 7개월 회선 유지한 고객 시기: 개통 후 4개월차 중순 1만원, 7개월차 중순 1만원",https://www.moyoplan.com/plans/30945
30945,KT,무제한 15GB+1M(올리브영 매월 5000원),사은품/페이백,"올리브영 상품권 매월 5,000원 제공",,,5000,,False,,대상: 대상 요금제 개통 후 지급 시기까지 회선 유지한 고객 시기: 매월 실사용 30일사용시 익일 제공,https://www.moyoplan.com/plans/30945
30945,KT,무제한 15GB+1M(올리브영 매월 5000원),사은품/페이백,추가데이터 10GB 제공,,,,,False,,대상: 대상 요금제 개통 후 고고모바일 사용자 간 결합한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/30945
30945,KT,무제한 15GB+1M(올리브영 매월 5000원),사은품/페이백,데이터 매월 10GB 추가 증정 (24개월간),,,,,False,,대상: 대상 요금제 개통한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/30945
30945,KT,무제한 15GB+1M(올리브영 매월 5000원),사은품/페이백,KT유심&배송비 무료,,,,,False,,대상: 대상 요금제 개통한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/30945
29904,SKT,티플 위드유 100GB+(G car+세차클링),사은품/페이백,롯데렌터카 연간 패스 이용권,,,,,False,,"대상: 대상 요금제 개통한 고객 시기: 개통 첫달 15일/말일 , 이후 매월 초 지급",https://www.moyoplan.com/plans/29904
29904,SKT,티플 위드유 100GB+(G car+세차클링),사은품/페이백,세차 클링 출장 세차 할인 쿠폰,,,,,False,,대상: 대상 요금제 개통 후 1개월 회선 유지한 고객 시기: 조건 달성한 달 월말,https://www.moyoplan.com/plans/29904
36597,LGU+,[모요only] 마블링 프라임 15GB+1Mbps,사은품/페이백,일반유심/배송비 무료,,,,,False,,,https://www.moyoplan.com/plans/36597
37227,SKT,A 스마트 15GB,사은품/페이백,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,False,,,https://www.moyoplan.com/plans/37227
35467,SKT,[S]OK캐쉬백 100GB+,사은품/페이백,SOLO결합 데이터 20GB 지급,,,,,False,,,https://www.moyoplan.com/plans/35467
29903,SKT,티플 위드유 11GB+(G car+세차클링),사은품/페이백,롯데렌터카 연간 패스 이용권,,,,,False,,"대상: 대상 요금제 개통한 고객 시기: 개통 첫달 15일/말일 , 이후 매월 초 지급",https://www.moyoplan.com/plans/29903
29903,SKT,티플 위드유 11GB+(G car+세차클링),사은품/페이백,세차 클링 출장 세차 할인 쿠폰,,,,,False,,대상: 대상 요금제 개통 후 1개월 회선 유지한 고객 시기: 조건 달성한 달 월말,https://www.moyoplan.com/plans/29903
10768,KT,통화 충분 4.5GB,사은품/페이백,S-머니3만원(5천원X6개월),,,30000,,False,,"대상: 모요에서 신청한 유심 개통 후, 1개월 회선 유지한 고객 시기: 개통월 기준 다음달 말부터 매월 말 지급",https://www.moyoplan.com/plans/10768
