carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MVNO,KT,모빙,37296,37296,official_code,5G 쏙쏙 300분15GB,,moyo,True,,,5G,15.0,,15.0,False,,,,,,unsupported,False,300,,False,100,31900,550,모요 프로모션 할인,7,0,0,,,,,,566,https://www.moyoplan.com/plans/37296,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,에이모바일,37225,37225,official_code,A 5G 스마트 20GB/300분,,moyo,True,,,5G,20.0,,20.0,False,,,,,,undisclosed,False,300,,False,100,24200,1650,모요 프로모션 할인,7,1,1,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,2046,https://www.moyoplan.com/plans/37225,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,LG헬로모바일,11202,11202,official_code,보편 안심 유심 6GB 200분,,moyo,True,,,LTE,6.0,,6.0,False,1Mbps,,,,,undisclosed,False,200,,False,100,15200,10200,모요 프로모션 페이백/할인,7,4,2,구글 AI프로+도미노피자 할인쿠폰 | 토스미·오픽미 AI 모의고사,,,,네이버페이 매달 5천원 페이백(7개월) | 프레딧 쿠폰 2만원(5천원*4개월),11,https://www.moyoplan.com/plans/11202,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,스마텔,25268,25268,official_code,USIM 스마일 5G망 (500분/10GB),,moyo,True,,,5G,10.0,,10.0,False,,,10.0,,10.0,quota,False,500,,False,100,20900,9900,모요 프로모션 할인,5,0,0,,,,,,22,https://www.moyoplan.com/plans/25268,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,티플러스,31043,31043,official_code,티플 7GB+(이디야커피),,moyo,True,,,LTE,7.0,,7.0,False,1Mbps,,,,,unsupported,True,,,True,,29700,5900,모요 프로모션 할인,7,1,0,,,,,"12개월간 이디야 모바일권 5,000원권 증정",108,https://www.moyoplan.com/plans/31043,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,모빙,37254,37254,official_code,[S] 300분5GB,,moyo,True,,,LTE,5.0,,5.0,False,,,,,,unsupported,False,300,,False,300,20000,990,모요 프로모션 할인,12,0,0,,,,,,1490,https://www.moyoplan.com/plans/37254,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,마블링,15034,15034,official_code,마블링 프라임(5G) 125GB+5Mbps,,moyo,True,,신규가입 시 본인확인 해피콜과 본인입증서류 제출을 요청 드릴 수 있습니다.,5G,125.0,,125.0,False,5Mbps,,5.0,,5.0,quota,True,,300,True,,46900,28900,모요 프로모션 할인,7,0,0,,,,,,35,https://www.moyoplan.com/plans/15034,2026-08-11T01:43:06.687727+00:00
MVNO,KT,이지모바일,33040,33040,official_code,EG 무제한 10G+1(밀리의 서재),,moyo,True,,,LTE,10.0,,10.0,False,1Mbps,,10.0,,10.0,quota,True,,300,True,,24200,9900,모요 프로모션 할인,7,3,1,밀리의서재,,,데이터 10GB 추가 증정,일반유심/배송비 무료,426,https://www.moyoplan.com/plans/33040,2026-08-11T01:43:06.687727+00:00
MVNO,KT,이지모바일,30898,30898,official_code,EG CU 데이터 15G+3/300분(CU할인),,moyo,True,,,LTE,15.0,,15.0,False,3Mbps,,15.0,,15.0,quota,False,300,,False,300,33000,19000,모요 프로모션 할인,7,1,0,,,,,일반유심/배송비 무료,20,https://www.moyoplan.com/plans/30898,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,아이즈모바일,36220,36220,official_code,[L]5G 울트라(300분/15GB),,moyo,True,,,5G,15.0,,15.0,False,,,,,,undisclosed,False,300,,False,300,25300,990,모요 프로모션 할인,6,0,0,,,,,,317,https://www.moyoplan.com/plans/36220,2026-08-11T01:43:06.687727+00:00
