change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
신규,37448,37448,LGU+,moyo,[모요only] 마블링 무제한 15GB+,,,,https://www.moyoplan.com/plans/37448
신규,37447,37447,LGU+,moyo,프리티 편의점금액권 5000 150G+,,,,https://www.moyoplan.com/plans/37447
신규,37446,37446,LGU+,moyo,프리티 편의점금액권 5000 125G+,,,,https://www.moyoplan.com/plans/37446
신규,37445,37445,LGU+,moyo,프리티 편의점금액권 5000 95G+,,,,https://www.moyoplan.com/plans/37445
변경,28127,28127,LGU+,moyo,[모요only] 마블링 프라임 11GB+매일2GB+3Mbps,monthly_fee,36000,38990,https://www.moyoplan.com/plans/28127
변경,28127,28127,LGU+,moyo,[모요only] 마블링 프라임 11GB+매일2GB+3Mbps,discounted_fee,6572,5400,https://www.moyoplan.com/plans/28127
변경,22864,22864,LGU+,moyo,[모요only] 마블링 프라임 100GB+5Mbps,monthly_fee,46190,45900,https://www.moyoplan.com/plans/22864
변경,29288,29288,LGU+,moyo,이야기 완전 FREE 71GB,discounted_fee,6560,5500,https://www.moyoplan.com/plans/29288
변경,36256,36256,LGU+,moyo,5G 음성기본 150GB+5Mbps_24개월,monthly_fee,62700,57090,https://www.moyoplan.com/plans/36256
변경,36256,36256,LGU+,moyo,5G 음성기본 150GB+5Mbps_24개월,discounted_fee,22350,22300,https://www.moyoplan.com/plans/36256
변경,26871,26871,LGU+,moyo,[CHM] 5G 음성기본 150GB+5Mbps,monthly_fee,55880,59290,https://www.moyoplan.com/plans/26871
변경,26871,26871,LGU+,moyo,[CHM] 5G 음성기본 150GB+5Mbps,discounted_fee,12350,9940,https://www.moyoplan.com/plans/26871
변경,34377,34377,LGU+,moyo,[모요only] 알찬 음성기본 11GB+일 2GB+3Mbps,monthly_fee,39600,38500,https://www.moyoplan.com/plans/34377
변경,34377,34377,LGU+,moyo,[모요only] 알찬 음성기본 11GB+일 2GB+3Mbps,discounted_fee,7800,5764,https://www.moyoplan.com/plans/34377
변경,23975,23975,LGU+,moyo,인스 유심 스트롱 11GB+,discounted_fee,6571,5499,https://www.moyoplan.com/plans/23975
변경,23209,23209,LGU+,moyo,인스 유심 스피드(5G) 150GB+,monthly_fee,56040,59340,https://www.moyoplan.com/plans/23209
변경,23209,23209,LGU+,moyo,인스 유심 스피드(5G) 150GB+,discounted_fee,12370,9950,https://www.moyoplan.com/plans/23209
변경,33045,33045,KT,moyo,EG 10무제한 11G+3(CU할인),plan_name,EG 12무제한 11G+3(CU할인),EG 10무제한 11G+3(CU할인),https://www.moyoplan.com/plans/33045
변경,33045,33045,KT,moyo,EG 10무제한 11G+3(CU할인),discounted_fee,20900,17900,https://www.moyoplan.com/plans/33045
변경,33045,33045,KT,moyo,EG 10무제한 11G+3(CU할인),discount_period_months,12,10,https://www.moyoplan.com/plans/33045
변경,33045,33045,KT,moyo,EG 10무제한 11G+3(CU할인),base_tethering_gb,11.0,,https://www.moyoplan.com/plans/33045
변경,33045,33045,KT,moyo,EG 10무제한 11G+3(CU할인),tethering_gb,11.0,,https://www.moyoplan.com/plans/33045
변경,33045,33045,KT,moyo,EG 10무제한 11G+3(CU할인),voice_extra_minutes,300,,https://www.moyoplan.com/plans/33045
변경,35324,35324,LGU+,moyo,[모요only] 마블링 무제한 11GB+,discounted_fee,18900,19900,https://www.moyoplan.com/plans/35324
