change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
신규,37417,37417,KT,moyo,완전마음껏 100GB＋＋(밀리의서재)_24개월할인,,,,https://www.moyoplan.com/plans/37417
신규,37418,37418,KT,moyo,완전마음껏 100GB++(CU 20%)_24개월할인,,,,https://www.moyoplan.com/plans/37418
신규,37419,37419,LGU+,moyo,요금걱정 제로 이야기 4.5GB+,,,,https://www.moyoplan.com/plans/37419
신규,20569,20569,LGU+,moyo,이야기 6GB 350분,,,,https://www.moyoplan.com/plans/20569
단종,37112,37112,LGU+,moyo,[Npay 12만 기본제공] 7GB+/통화기본,,,,https://www.moyoplan.com/plans/37112
단종,24222,24222,LGU+,moyo,음성기본11GB+일2GB,,,,https://www.moyoplan.com/plans/24222
단종,31483,31483,LGU+,moyo,[모요only] 음성기본100GB+,,,,https://www.moyoplan.com/plans/31483
단종,23359,23359,LGU+,moyo,음성100분15GB+,,,,https://www.moyoplan.com/plans/23359
단종,19568,19568,LGU+,moyo,음성기본100GB+,,,,https://www.moyoplan.com/plans/19568
단종,19621,19621,LGU+,moyo,음성기본매일5GB+,,,,https://www.moyoplan.com/plans/19621
단종,31482,31482,LGU+,moyo,[모요only] 음성기본11GB+일2GB,,,,https://www.moyoplan.com/plans/31482
단종,24221,24221,LGU+,moyo,음성기본7GB+,,,,https://www.moyoplan.com/plans/24221
단종,23540,23540,LGU+,moyo,음성기본10GB+,,,,https://www.moyoplan.com/plans/23540
변경,36967,36967,KT,moyo,모두다 맘껏 10GB+(밀리의 서재 FREE),discounted_fee,19000,0,https://www.moyoplan.com/plans/36967
변경,36967,36967,KT,moyo,모두다 맘껏 10GB+(밀리의 서재 FREE),discount_type,,모요 프로모션 페이백/할인,https://www.moyoplan.com/plans/36967
변경,36967,36967,KT,moyo,모두다 맘껏 10GB+(밀리의 서재 FREE),discount_period_months,,8,https://www.moyoplan.com/plans/36967
변경,36967,36967,KT,moyo,모두다 맘껏 10GB+(밀리의 서재 FREE),benefit_count,2,3,https://www.moyoplan.com/plans/36967
변경,36971,36971,KT,moyo,5G 모두다 맘껏 안심 20GB+,discounted_fee,19900,0,https://www.moyoplan.com/plans/36971
변경,36971,36971,KT,moyo,5G 모두다 맘껏 안심 20GB+,discount_type,,모요 프로모션 페이백/할인,https://www.moyoplan.com/plans/36971
변경,36971,36971,KT,moyo,5G 모두다 맘껏 안심 20GB+,discount_period_months,,8,https://www.moyoplan.com/plans/36971
변경,36971,36971,KT,moyo,5G 모두다 맘껏 안심 20GB+,benefit_count,2,4,https://www.moyoplan.com/plans/36971
변경,36978,36978,KT,moyo,5G 데이터 충분 10GB/200분,discounted_fee,9400,0,https://www.moyoplan.com/plans/36978
변경,36978,36978,KT,moyo,5G 데이터 충분 10GB/200분,discount_type,,모요 프로모션 페이백/할인,https://www.moyoplan.com/plans/36978
변경,36978,36978,KT,moyo,5G 데이터 충분 10GB/200분,discount_period_months,,7,https://www.moyoplan.com/plans/36978
변경,36978,36978,KT,moyo,5G 데이터 충분 10GB/200분,benefit_count,2,4,https://www.moyoplan.com/plans/36978
변경,29062,29062,LGU+,moyo,데일리 너겟59,base_tethering_gb,70.0,,https://www.moyoplan.com/plans/29062
변경,29062,29062,LGU+,moyo,데일리 너겟59,tethering_gb,70.0,,https://www.moyoplan.com/plans/29062
변경,29062,29062,LGU+,moyo,데일리 너겟59,voice_extra_minutes,300,,https://www.moyoplan.com/plans/29062
변경,29062,29062,LGU+,moyo,데일리 너겟59,benefit_count,5,4,https://www.moyoplan.com/plans/29062
