change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
신규,37403,37403,KT,moyo,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PAY,,,,https://www.moyoplan.com/plans/37403
신규,37421,37421,LGU+,moyo,CHM_5G 음성기본 맥스150GB+,,,,https://www.moyoplan.com/plans/37421
신규,34892,34892,LGU+,moyo,[모요only] 두해 통화기본11GB+매일2GB,,,,https://www.moyoplan.com/plans/34892
신규,37422,37422,KT,moyo,[모요only] [K] 핀다이렉트 Speed 10GB/200분,,,,https://www.moyoplan.com/plans/37422
신규,37423,37423,KT,moyo,[모요only] [K] 핀다이렉트 Speed 20GB/200분,,,,https://www.moyoplan.com/plans/37423
신규,33817,33817,KT,moyo,TOP 11GB 기본 (밀리의서재),,,,https://www.moyoplan.com/plans/33817
신규,33811,33811,KT,moyo,TOP 7GB 기본 (밀리의서재),,,,https://www.moyoplan.com/plans/33811
신규,37424,37424,KT,moyo,[모요only] [K] 핀다이렉트 Speed 30GB/200분,,,,https://www.moyoplan.com/plans/37424
신규,37420,37420,KT,moyo,[K]5G 네이버페이 110GB+,,,,https://www.moyoplan.com/plans/37420
단종,27864,27864,LGU+,moyo,Sugar 매일5GB++ (12개월+),,,,https://www.moyoplan.com/plans/27864
단종,28695,28695,LGU+,moyo,슈가칩2 100GB++,,,,https://www.moyoplan.com/plans/28695
단종,27863,27863,LGU+,moyo,슈가칩 11GB+매일2GB+,,,,https://www.moyoplan.com/plans/27863
단종,29315,29315,KT,moyo,[K] 핀다이렉트 Speed 10GB/200분,,,,https://www.moyoplan.com/plans/29315
단종,29316,29316,KT,moyo,[K] 핀다이렉트 Speed 20GB/200분,,,,https://www.moyoplan.com/plans/29316
단종,29317,29317,KT,moyo,[K] 핀다이렉트 Speed 30GB/200분,,,,https://www.moyoplan.com/plans/29317
단종,31484,31484,LGU+,moyo,[모요only] 음성기본매일5GB+,,,,https://www.moyoplan.com/plans/31484
단종,32355,32355,SKT,moyo,air 71GB,,,,https://www.moyoplan.com/plans/32355
단종,32354,32354,SKT,moyo,air 100GB,,,,https://www.moyoplan.com/plans/32354
단종,32357,32357,SKT,moyo,air 15GB,,,,https://www.moyoplan.com/plans/32357
단종,32356,32356,SKT,moyo,air 30GB,,,,https://www.moyoplan.com/plans/32356
단종,32358,32358,SKT,moyo,air X(무제한),,,,https://www.moyoplan.com/plans/32358
변경,26613,26613,KT,moyo,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,monthly_fee,44500,42300,https://www.moyoplan.com/plans/26613
변경,26613,26613,KT,moyo,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,discounted_fee,12400,11900,https://www.moyoplan.com/plans/26613
변경,34378,34378,LGU+,moyo,[모요only] [CH]100GB+5Mbps,discounted_fee,15700,12900,https://www.moyoplan.com/plans/34378
변경,36163,36163,KT,moyo,[모요only] 쉐이크only LTE 100GB+밀리의서재,monthly_fee,49500,45100,https://www.moyoplan.com/plans/36163
변경,37104,37104,LGU+,moyo,5G 음성기본 맥스150GB+,discounted_fee,13200,12000,https://www.moyoplan.com/plans/37104
