change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
신규,37405,37405,LGU+,moyo,[모요only] 두해5G 통화기본125GB+,,,,https://www.moyoplan.com/plans/37405
신규,37406,37406,LGU+,moyo,[모요only] 두해5G 통화기본150GB+,,,,https://www.moyoplan.com/plans/37406
신규,37404,37404,LGU+,moyo,[모요only] 두해5G 통화기본95GB+,,,,https://www.moyoplan.com/plans/37404
신규,37415,37415,SKT,moyo,[S] 컬쳐랜드 11GB+,,,,https://www.moyoplan.com/plans/37415
신규,37416,37416,SKT,moyo,[S] 컬쳐랜드 100GB+,,,,https://www.moyoplan.com/plans/37416
신규,37414,37414,SKT,moyo,[S] 컬쳐랜드 100분15GB+,,,,https://www.moyoplan.com/plans/37414
신규,37410,37410,SKT,moyo,[S] 100분15GB+,,,,https://www.moyoplan.com/plans/37410
신규,37409,37409,SKT,moyo,[S] 데이터 7GB+,,,,https://www.moyoplan.com/plans/37409
신규,37408,37408,KT,moyo,[K]5G 네이버페이 200GB+,,,,https://www.moyoplan.com/plans/37408
신규,37412,37412,SKT,moyo,[S] 데이터 10GB+,,,,https://www.moyoplan.com/plans/37412
신규,37411,37411,SKT,moyo,[S] 컬쳐랜드 7GB+,,,,https://www.moyoplan.com/plans/37411
신규,37413,37413,SKT,moyo,[S] 컬쳐랜드 10GB+,,,,https://www.moyoplan.com/plans/37413
단종,36218,36218,LGU+,moyo,이야기 무제한71GB+3Mbps,,,,https://www.moyoplan.com/plans/36218
단종,30013,30013,LGU+,moyo,[올리브영 12만원] 5G 3GB/통화기본,,,,https://www.moyoplan.com/plans/30013
단종,28171,28171,LGU+,moyo,[윌 야쿠르트 240개] 플러스 알파 4.5GB+,,,,https://www.moyoplan.com/plans/28171
단종,37277,37277,SKT,moyo,[S] 100분15GB+,,,,https://www.moyoplan.com/plans/37277
단종,37266,37266,SKT,moyo,[S] 데이터 7GB+,,,,https://www.moyoplan.com/plans/37266
단종,37280,37280,SKT,moyo,[S] 컬쳐랜드 100GB+,,,,https://www.moyoplan.com/plans/37280
단종,37279,37279,SKT,moyo,[S] 컬쳐랜드 11GB+,,,,https://www.moyoplan.com/plans/37279
단종,37274,37274,SKT,moyo,[S] 데이터 10GB+,,,,https://www.moyoplan.com/plans/37274
단종,37278,37278,SKT,moyo,[S] 컬쳐랜드 100분15GB+,,,,https://www.moyoplan.com/plans/37278
단종,37268,37268,SKT,moyo,[S] 컬쳐랜드 7GB+,,,,https://www.moyoplan.com/plans/37268
단종,37273,37273,SKT,moyo,[S] 컬쳐랜드 10GB+,,,,https://www.moyoplan.com/plans/37273
변경,26257,26257,LGU+,moyo,[평생할인] 7GB+/통화기본,benefit_count,3,4,https://www.moyoplan.com/plans/26257
변경,36163,36163,KT,moyo,[모요only] 쉐이크only LTE 100GB+밀리의서재,discounted_fee,15900,9900,https://www.moyoplan.com/plans/36163
변경,35498,35498,LGU+,moyo,[평생할인] 5G 15GB+/300분,benefit_count,1,2,https://www.moyoplan.com/plans/35498
변경,6836,6836,LGU+,moyo,The 착한 데이터 유심 11GB,discount_period_months,6,7,https://www.moyoplan.com/plans/6836
변경,6836,6836,LGU+,moyo,The 착한 데이터 유심 11GB,benefit_count,3,4,https://www.moyoplan.com/plans/6836
변경,6801,6801,LGU+,moyo,슬림 유심 1GB 100분,discount_period_months,6,7,https://www.moyoplan.com/plans/6801
변경,6790,6790,LGU+,moyo,보편 안심 유심 15GB 100분,discount_period_months,6,7,https://www.moyoplan.com/plans/6790
변경,6790,6790,LGU+,moyo,보편 안심 유심 15GB 100분,benefit_count,3,4,https://www.moyoplan.com/plans/6790
변경,36647,36647,LGU+,moyo,DATA 걱정없는 유심 100GB,discount_period_months,6,7,https://www.moyoplan.com/plans/36647
변경,36647,36647,LGU+,moyo,DATA 걱정없는 유심 100GB,benefit_count,3,4,https://www.moyoplan.com/plans/36647
변경,6830,6830,LGU+,moyo,DATA 걱정없는 유심 7GB,discount_period_months,6,7,https://www.moyoplan.com/plans/6830
변경,6804,6804,LGU+,moyo,슬림 유심 500MB 50분,discount_period_months,6,7,https://www.moyoplan.com/plans/6804
변경,26259,26259,LGU+,moyo,[평생할인] 15GB+/통화기본,benefit_count,3,4,https://www.moyoplan.com/plans/26259
변경,6803,6803,LGU+,moyo,슬림 유심 2GB 200분,discount_period_months,6,7,https://www.moyoplan.com/plans/6803
변경,18885,18885,LGU+,moyo,DATA 걱정없는 유심 15GB,discount_period_months,6,7,https://www.moyoplan.com/plans/18885
변경,11964,11964,LGU+,moyo,The 착한 데이터 유심 9GB 3000분,discount_period_months,6,7,https://www.moyoplan.com/plans/11964
변경,11964,11964,LGU+,moyo,The 착한 데이터 유심 9GB 3000분,benefit_count,4,5,https://www.moyoplan.com/plans/11964
변경,37109,37109,LGU+,moyo,[Npay 12만 기본제공] 17GB+/통화기본,benefit_count,2,3,https://www.moyoplan.com/plans/37109
변경,28102,28102,KT,moyo,[모요only] [K] 핀다이렉트Z Max (100GB) _PIN,discounted_fee,11800,15800,https://www.moyoplan.com/plans/28102
변경,28102,28102,KT,moyo,[모요only] [K] 핀다이렉트Z Max (100GB) _PIN,discount_period_months,6,7,https://www.moyoplan.com/plans/28102
변경,22864,22864,LGU+,moyo,[모요only] 마블링 프라임 100GB+5Mbps,monthly_fee,39990,46190,https://www.moyoplan.com/plans/22864
변경,22864,22864,LGU+,moyo,[모요only] 마블링 프라임 100GB+5Mbps,discounted_fee,15800,11000,https://www.moyoplan.com/plans/22864
변경,22864,22864,LGU+,moyo,[모요only] 마블링 프라임 100GB+5Mbps,base_tethering_gb,11.0,,https://www.moyoplan.com/plans/22864
변경,22864,22864,LGU+,moyo,[모요only] 마블링 프라임 100GB+5Mbps,tethering_gb,11.0,,https://www.moyoplan.com/plans/22864
변경,22864,22864,LGU+,moyo,[모요only] 마블링 프라임 100GB+5Mbps,voice_extra_minutes,300,,https://www.moyoplan.com/plans/22864
변경,23093,23093,LGU+,moyo,보편 안심 유심 15GB 300분,discount_period_months,6,7,https://www.moyoplan.com/plans/23093
변경,23093,23093,LGU+,moyo,보편 안심 유심 15GB 300분,benefit_count,3,4,https://www.moyoplan.com/plans/23093
변경,36256,36256,LGU+,moyo,5G 음성기본 150GB+5Mbps_24개월,discounted_fee,22800,22650,https://www.moyoplan.com/plans/36256
변경,34378,34378,LGU+,moyo,[모요only] [CH]100GB+5Mbps,discounted_fee,13900,15700,https://www.moyoplan.com/plans/34378
변경,34378,34378,LGU+,moyo,[모요only] [CH]100GB+5Mbps,discount_period_months,6,7,https://www.moyoplan.com/plans/34378
변경,23092,23092,LGU+,moyo,보편 안심 유심 15GB 180분,discount_period_months,6,7,https://www.moyoplan.com/plans/23092
변경,23092,23092,LGU+,moyo,보편 안심 유심 15GB 180분,benefit_count,3,4,https://www.moyoplan.com/plans/23092
변경,28127,28127,LGU+,moyo,[모요only] 마블링 프라임 11GB+매일2GB+3Mbps,monthly_fee,38900,36890,https://www.moyoplan.com/plans/28127
변경,28127,28127,LGU+,moyo,[모요only] 마블링 프라임 11GB+매일2GB+3Mbps,discounted_fee,8970,6900,https://www.moyoplan.com/plans/28127
변경,34377,34377,LGU+,moyo,[모요only] 알찬 음성기본 11GB+일 2GB+3Mbps,discounted_fee,7400,9500,https://www.moyoplan.com/plans/34377
변경,34377,34377,LGU+,moyo,[모요only] 알찬 음성기본 11GB+일 2GB+3Mbps,discount_period_months,6,7,https://www.moyoplan.com/plans/34377
변경,32404,32404,LGU+,moyo,쿠폰팩 유심 15GB 100분,discount_period_months,6,7,https://www.moyoplan.com/plans/32404
변경,18705,18705,LGU+,moyo,5G 유심 중간요금제 95GB,discount_period_months,6,7,https://www.moyoplan.com/plans/18705
변경,18705,18705,LGU+,moyo,5G 유심 중간요금제 95GB,benefit_count,3,4,https://www.moyoplan.com/plans/18705
변경,10394,10394,LGU+,moyo,5G 스탠다드 유심 150GB,discount_period_months,6,7,https://www.moyoplan.com/plans/10394
변경,10394,10394,LGU+,moyo,5G 스탠다드 유심 150GB,benefit_count,3,4,https://www.moyoplan.com/plans/10394
변경,32403,32403,LGU+,moyo,쿠폰팩 유심 11GB,discount_period_months,6,7,https://www.moyoplan.com/plans/32403
변경,6789,6789,LGU+,moyo,보편 안심 유심 10GB 200분,discount_period_months,6,7,https://www.moyoplan.com/plans/6789
변경,32401,32401,LGU+,moyo,쿠폰팩 유심 10GB,discount_period_months,6,7,https://www.moyoplan.com/plans/32401
변경,12438,12438,LGU+,moyo,5G 유심 6GB 200분,discount_period_months,6,7,https://www.moyoplan.com/plans/12438
변경,14987,14987,LGU+,moyo,CU 유심 1.5GB 150분,discount_period_months,6,7,https://www.moyoplan.com/plans/14987
변경,32400,32400,LGU+,moyo,쿠폰팩 유심 7GB,discount_period_months,6,7,https://www.moyoplan.com/plans/32400
변경,15001,15001,LGU+,moyo,프레딧 유심 1.5GB 150분,discount_period_months,6,7,https://www.moyoplan.com/plans/15001
변경,32402,32402,LGU+,moyo,쿠폰팩 유심 15GB,discount_period_months,6,7,https://www.moyoplan.com/plans/32402
변경,26836,26836,KT,moyo,가성비플러스(15GB/350분),discount_period_months,9,8,https://www.moyoplan.com/plans/26836
변경,34319,34319,KT,moyo,5G 가성비플러스(15GB/350분),discount_period_months,9,8,https://www.moyoplan.com/plans/34319
변경,11197,11197,LGU+,moyo,보편 안심 유심 1GB 100분,discount_period_months,6,7,https://www.moyoplan.com/plans/11197
변경,10390,10390,LGU+,moyo,5G 유심 통화 맘편히 3GB,discount_period_months,6,7,https://www.moyoplan.com/plans/10390
변경,37112,37112,LGU+,moyo,[Npay 12만 기본제공] 7GB+/통화기본,benefit_count,2,3,https://www.moyoplan.com/plans/37112
변경,18704,18704,LGU+,moyo,5G 유심 중간요금제 80GB,discount_period_months,6,7,https://www.moyoplan.com/plans/18704
변경,18704,18704,LGU+,moyo,5G 유심 중간요금제 80GB,benefit_count,3,4,https://www.moyoplan.com/plans/18704
변경,18702,18702,LGU+,moyo,5G 유심 중간요금제 31GB,discount_period_months,6,7,https://www.moyoplan.com/plans/18702
변경,18702,18702,LGU+,moyo,5G 유심 중간요금제 31GB,benefit_count,3,4,https://www.moyoplan.com/plans/18702
변경,10388,10388,LGU+,moyo,5G 스페셜 유심 180GB,discount_period_months,6,7,https://www.moyoplan.com/plans/10388
변경,10388,10388,LGU+,moyo,5G 스페셜 유심 180GB,benefit_count,3,4,https://www.moyoplan.com/plans/10388
변경,23094,23094,LGU+,moyo,5G 라이트 유심 14GB,discount_period_months,6,7,https://www.moyoplan.com/plans/23094
변경,23094,23094,LGU+,moyo,5G 라이트 유심 14GB,benefit_count,3,4,https://www.moyoplan.com/plans/23094
변경,10392,10392,LGU+,moyo,5G 유심 통화 맘편히 9GB,discount_period_months,6,7,https://www.moyoplan.com/plans/10392
