change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
단종,36971,36971,KT,moyo,5G 모두다 맘껏 안심 20GB+,,,,https://www.moyoplan.com/plans/36971
단종,36967,36967,KT,moyo,모두다 맘껏 10GB+(밀리의 서재 FREE),,,,https://www.moyoplan.com/plans/36967
단종,37140,37140,KT,moyo,모두다 맘껏 안심 20GB+,,,,https://www.moyoplan.com/plans/37140
단종,36965,36965,KT,moyo,모두다 맘껏 15GB+(밀리의 서재 FREE),,,,https://www.moyoplan.com/plans/36965
단종,36978,36978,KT,moyo,5G 데이터 충분 10GB/200분,,,,https://www.moyoplan.com/plans/36978
단종,36948,36948,KT,moyo,모두다 맘껏 7GB+(밀리의 서재 FREE),,,,https://www.moyoplan.com/plans/36948
단종,30968,30968,LGU+,moyo,USIM 스마트 15GB+,,,,https://www.moyoplan.com/plans/30968
변경,26613,26613,KT,moyo,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,discounted_fee,11600,11500,https://www.moyoplan.com/plans/26613
변경,37103,37103,KT,moyo,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _모요핫딜,discounted_fee,11500,11400,https://www.moyoplan.com/plans/37103
변경,30954,30954,KT,moyo,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PIN,discounted_fee,11600,11400,https://www.moyoplan.com/plans/30954
변경,26312,26312,LGU+,moyo,[모빌카드 스페셜] 유심 5G 150GB+,discounted_fee,10000,11880,https://www.moyoplan.com/plans/26312
변경,34378,34378,LGU+,moyo,[모요only] [CH]100GB+5Mbps,discounted_fee,12900,11000,https://www.moyoplan.com/plans/34378
변경,36263,36263,LGU+,moyo,[일반] 유심 5G 150GB+_24개월,discounted_fee,21500,23000,https://www.moyoplan.com/plans/36263
변경,35498,35498,LGU+,moyo,[평생할인] 5G 15GB+/300분,discounted_fee,900,16900,https://www.moyoplan.com/plans/35498
변경,35498,35498,LGU+,moyo,[평생할인] 5G 15GB+/300분,discount_type,모요 프로모션 페이백/할인,,https://www.moyoplan.com/plans/35498
변경,35498,35498,LGU+,moyo,[평생할인] 5G 15GB+/300분,discount_period_months,10,,https://www.moyoplan.com/plans/35498
변경,35498,35498,LGU+,moyo,[평생할인] 5G 15GB+/300분,benefit_count,1,0,https://www.moyoplan.com/plans/35498
