change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
신규,36971,36971,KT,moyo,5G 모두다 맘껏 안심 20GB+,,,,https://www.moyoplan.com/plans/36971
신규,36967,36967,KT,moyo,모두다 맘껏 10GB+(밀리의 서재 FREE),,,,https://www.moyoplan.com/plans/36967
신규,37140,37140,KT,moyo,모두다 맘껏 안심 20GB+,,,,https://www.moyoplan.com/plans/37140
신규,36965,36965,KT,moyo,모두다 맘껏 15GB+(밀리의 서재 FREE),,,,https://www.moyoplan.com/plans/36965
신규,36948,36948,KT,moyo,모두다 맘껏 7GB+(밀리의 서재 FREE),,,,https://www.moyoplan.com/plans/36948
신규,30872,30872,KT,moyo,[5G]EG 무제한 110G+5,,,,https://www.moyoplan.com/plans/30872
신규,37456,37456,LGU+,moyo,[L] 5G 300분5GB,,,,https://www.moyoplan.com/plans/37456
신규,37451,37451,SKT,moyo,[S] 데이터 7GB,,,,https://www.moyoplan.com/plans/37451
신규,37450,37450,SKT,moyo,모빙 200분7GB,,,,https://www.moyoplan.com/plans/37450
신규,37449,37449,SKT,moyo,[S] 500분10GB,,,,https://www.moyoplan.com/plans/37449
신규,37455,37455,SKT,moyo,모빙 300분20GB,,,,https://www.moyoplan.com/plans/37455
신규,37453,37453,SKT,moyo,[S] 데이터 5GB,,,,https://www.moyoplan.com/plans/37453
신규,37454,37454,SKT,moyo,모빙 500분 7GB,,,,https://www.moyoplan.com/plans/37454
신규,37452,37452,SKT,moyo,[S] 데이터 3GB,,,,https://www.moyoplan.com/plans/37452
단종,37096,37096,KT,moyo,[모요only] [5G]EG 무제한 110GB+5M,,,,https://www.moyoplan.com/plans/37096
단종,24717,24717,LGU+,moyo,교보문고 북 플러스알파 1GB+,,,,https://www.moyoplan.com/plans/24717
단종,37249,37249,SKT,moyo,모빙 200분7GB,,,,https://www.moyoplan.com/plans/37249
단종,37440,37440,LGU+,moyo,[L] 5G 300분5GB,,,,https://www.moyoplan.com/plans/37440
단종,37252,37252,SKT,moyo,[S] 데이터 7GB,,,,https://www.moyoplan.com/plans/37252
단종,37271,37271,SKT,moyo,모빙 300분20GB,,,,https://www.moyoplan.com/plans/37271
단종,37263,37263,SKT,moyo,모빙 500분 7GB,,,,https://www.moyoplan.com/plans/37263
단종,37247,37247,SKT,moyo,[S] 500분10GB,,,,https://www.moyoplan.com/plans/37247
단종,37260,37260,SKT,moyo,[S] 데이터 5GB,,,,https://www.moyoplan.com/plans/37260
단종,37261,37261,SKT,moyo,[S] 데이터 3GB,,,,https://www.moyoplan.com/plans/37261
단종,29861,29861,SKT,moyo,5G 유심 (3GB/1000분),,,,https://www.moyoplan.com/plans/29861
단종,29866,29866,SKT,moyo,5G 유심 (3GB/200분),,,,https://www.moyoplan.com/plans/29866
단종,29870,29870,SKT,moyo,LTE 유심 (3GB/200분),,,,https://www.moyoplan.com/plans/29870
단종,35796,35796,SKT,moyo,5G 안심 (10GB+/2000분),,,,https://www.moyoplan.com/plans/35796
단종,29760,29760,SKT,moyo,10% 포인트 (11GB+/통화맘껏),,,,https://www.moyoplan.com/plans/29760
단종,33625,33625,SKT,moyo,7 PICK (15GB+/300분),,,,https://www.moyoplan.com/plans/33625
단종,29844,29844,SKT,moyo,번개 유심 (1GB+/통화맘껏),,,,https://www.moyoplan.com/plans/29844
단종,29853,29853,SKT,moyo,LTE 안심차단 (5GB/1000분),,,,https://www.moyoplan.com/plans/29853
단종,29762,29762,SKT,moyo,5G 유심 (15GB+/통화맘껏),,,,https://www.moyoplan.com/plans/29762
변경,37103,37103,KT,moyo,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _모요핫딜,discounted_fee,11700,11600,https://www.moyoplan.com/plans/37103
변경,28127,28127,LGU+,moyo,[모요only] 마블링 프라임 11GB+매일2GB+3Mbps,discounted_fee,5400,5370,https://www.moyoplan.com/plans/28127
변경,28102,28102,KT,moyo,[모요only] [K] 핀다이렉트Z Max (100GB) _PIN,discounted_fee,15800,11800,https://www.moyoplan.com/plans/28102
변경,36256,36256,LGU+,moyo,5G 음성기본 150GB+5Mbps_24개월,monthly_fee,57090,56100,https://www.moyoplan.com/plans/36256
변경,36256,36256,LGU+,moyo,5G 음성기본 150GB+5Mbps_24개월,discounted_fee,22300,21480,https://www.moyoplan.com/plans/36256
변경,31929,31929,KT,moyo,EG 무제한 100GB+5M(밀리의 서재),discounted_fee,14900,9900,https://www.moyoplan.com/plans/31929
변경,31929,31929,KT,moyo,EG 무제한 100GB+5M(밀리의 서재),discount_period_months,7,6,https://www.moyoplan.com/plans/31929
