change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
신규,LPZ1008252,LPZ1008252,LGU+,LGU+-키즈 | LGU+-청소년,데이터플랜150GB(키즈/청소년),,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1008252
신규,LPZ1008253,LPZ1008253,LGU+,LGU+-키즈 | LGU+-청소년,데이터플랜125GB(키즈/청소년),,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1008253
신규,LPZ1008254,LPZ1008254,LGU+,LGU+-키즈 | LGU+-청소년,데이터플랜95GB(키즈/청소년),,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1008254
신규,LPZ1008255,LPZ1008255,LGU+,LGU+-키즈 | LGU+-청소년,데이터플랜80GB(키즈/청소년),,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1008255
신규,LPZ1008256,LPZ1008256,LGU+,LGU+-키즈 | LGU+-청소년,데이터플랜50GB(키즈/청소년),,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1008256
신규,LPZ1008257,LPZ1008257,LGU+,LGU+-키즈 | LGU+-청소년,데이터플랜31GB(키즈/청소년),,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1008257
신규,LPZ1008258,LPZ1008258,LGU+,LGU+-키즈 | LGU+-청소년,데이터플랜24GB(키즈/청소년),,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1008258
신규,LPZ1008259,LPZ1008259,LGU+,LGU+-키즈 | LGU+-청소년,데이터플랜14GB(키즈/청소년),,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1008259
신규,37457,37457,LGU+,moyo,티플 외국인 7GB＋3Mbps_평생요금,,,,https://www.moyoplan.com/plans/37457
신규,37459,37459,SKT,moyo,[S] 데이터 100GB+,,,,https://www.moyoplan.com/plans/37459
신규,37458,37458,SKT,moyo,[S] 데이터 11GB+,,,,https://www.moyoplan.com/plans/37458
단종,26315,26315,LGU+,moyo,[모빌카드 스페셜] 유심 5G 125GB+,,,,https://www.moyoplan.com/plans/26315
단종,36649,36649,LGU+,moyo,5G 티플온 150GB+_평생 할인,,,,https://www.moyoplan.com/plans/36649
단종,37269,37269,SKT,moyo,[S] 데이터 100GB+,,,,https://www.moyoplan.com/plans/37269
단종,37264,37264,SKT,moyo,[S] 데이터 11GB+,,,,https://www.moyoplan.com/plans/37264
변경,1692_초이스 더블 유튜브 프리미엄+넷플릭스,1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스,voice_extra_minutes,300.0,300,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
