change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
신규,1692_초이스 더블 유튜브 프리미엄+넷플릭스_지니스마트음악감상,1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스 (지니 스마트 음악감상),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+넷플릭스_밀리의서재,1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스 (밀리의서재),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+넷플릭스_쇼핑라운지할인쿠폰(5천원권),1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스 (쇼핑라운지 할인 쿠폰 (5천원권)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+넷플릭스_모아진,1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스 (모아진),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+디바이스_지니스마트음악감상,1692_초이스 더블 유튜브 프리미엄+디바이스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+디바이스 (지니 스마트 음악감상),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+디바이스_밀리의서재,1692_초이스 더블 유튜브 프리미엄+디바이스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+디바이스 (밀리의서재),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+디바이스_쇼핑라운지할인쿠폰(5천원권),1692_초이스 더블 유튜브 프리미엄+디바이스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+디바이스 (쇼핑라운지 할인 쿠폰 (5천원권)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+디바이스_모아진,1692_초이스 더블 유튜브 프리미엄+디바이스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+디바이스 (모아진),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디바이스_지니스마트음악감상,1692_초이스 더블 디바이스,KT,KT-통합요금제,초이스 더블 디바이스 (지니 스마트 음악감상),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디바이스_밀리의서재,1692_초이스 더블 디바이스,KT,KT-통합요금제,초이스 더블 디바이스 (밀리의서재),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디바이스_쇼핑라운지할인쿠폰(5천원권),1692_초이스 더블 디바이스,KT,KT-통합요금제,초이스 더블 디바이스 (쇼핑라운지 할인 쿠폰 (5천원권)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디바이스_모아진,1692_초이스 더블 디바이스,KT,KT-통합요금제,초이스 더블 디바이스 (모아진),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디즈니플러스+폰케어_지니스마트음악감상,1692_초이스 더블 디즈니플러스+폰케어,KT,KT-통합요금제,초이스 더블 디즈니플러스+폰케어 (지니 스마트 음악감상),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디즈니플러스+폰케어_밀리의서재,1692_초이스 더블 디즈니플러스+폰케어,KT,KT-통합요금제,초이스 더블 디즈니플러스+폰케어 (밀리의서재),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디즈니플러스+폰케어_쇼핑라운지할인쿠폰(5천원권),1692_초이스 더블 디즈니플러스+폰케어,KT,KT-통합요금제,초이스 더블 디즈니플러스+폰케어 (쇼핑라운지 할인 쿠폰 (5천원권)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디즈니플러스+폰케어_모아진,1692_초이스 더블 디즈니플러스+폰케어,KT,KT-통합요금제,초이스 더블 디즈니플러스+폰케어 (모아진),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+넷플릭스_만 34세 이하_지니스마트음악감상,1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스 (지니 스마트 음악감상),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+넷플릭스_만 34세 이하_밀리의서재,1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스 (밀리의서재),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+넷플릭스_만 34세 이하_쇼핑라운지할인쿠폰(5천원권),1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스 (쇼핑라운지 할인 쿠폰 (5천원권)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+넷플릭스_만 34세 이하_모아진,1692_초이스 더블 유튜브 프리미엄+넷플릭스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+넷플릭스 (모아진),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+디바이스_만 34세 이하_지니스마트음악감상,1692_초이스 더블 유튜브 프리미엄+디바이스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+디바이스 (지니 스마트 음악감상),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+디바이스_만 34세 이하_밀리의서재,1692_초이스 더블 유튜브 프리미엄+디바이스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+디바이스 (밀리의서재),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+디바이스_만 34세 이하_쇼핑라운지할인쿠폰(5천원권),1692_초이스 더블 유튜브 프리미엄+디바이스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+디바이스 (쇼핑라운지 할인 쿠폰 (5천원권)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+디바이스_만 34세 이하_모아진,1692_초이스 더블 유튜브 프리미엄+디바이스,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+디바이스 (모아진),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디바이스_만 34세 이하_지니스마트음악감상,1692_초이스 더블 디바이스,KT,KT-통합요금제,초이스 더블 디바이스 (지니 스마트 음악감상),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 디바이스_만 34세 이하_밀리의서재,1692_초이스 더블 디바이스,KT,KT-통합요금제,초이스 더블 디바이스 (밀리의서재),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
