carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MNO,LGU+,,LPZ1007702,LPZ1007702,official_code,데이터플랜80GB(유쓰+30GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,110.0,,110.0,False,1Mbps,,45.0,,45.0,quota,True,,300,True,,66000,49500,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007702,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007703,LPZ1007703,official_code,데이터플랜50GB(유쓰+20GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,70.0,,70.0,False,1Mbps,,40.0,,40.0,quota,True,,300,True,,63000,47250,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007703,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007704,LPZ1007704,official_code,데이터플랜31GB(유쓰+10GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,41.0,,41.0,False,1Mbps,,,,,undisclosed,True,,300,True,,61000,45750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007704,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007705,LPZ1007705,official_code,데이터플랜24GB(유쓰+12GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,36.0,,36.0,False,1Mbps,,,,,undisclosed,True,,300,True,,59000,44250,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007705,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007706,LPZ1007706,official_code,데이터플랜14GB(유쓰+12GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,26.0,,26.0,False,1Mbps,,,,,undisclosed,True,,300,True,,55000,41250,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007706,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007707,LPZ1007707,official_code,데이터플랜9GB(유쓰+6GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,15.0,,15.0,False,400Kbps,,,,,undisclosed,True,,300,True,,47000,35250,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007707,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007708,LPZ1007708,official_code,데이터플랜5GB(유쓰+4GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,9.0,,9.0,False,400Kbps,,,,,undisclosed,True,,300,True,,37000,27750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007708,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006743,LPZ1006743,official_code,데이터플랜9GB(시니어+3GB),,LGU+-시니어,False,만 65세 이상,,5G,12.0,,12.0,False,1Mbps,,,,,undisclosed,True,,400,True,,47000,35250,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1006743,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006744,LPZ1006744,official_code,데이터플랜5GB(시니어+3GB),,LGU+-시니어,False,만 65세 이상,,5G,8.0,,8.0,False,400Kbps,,,,,undisclosed,True,,400,True,,37000,27750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1006744,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006745,LPZ1006745,official_code,데이터플랜750MB(시니어+0.5GB),,LGU+-시니어,False,만 65세 이상,,5G,1.25,,1.25,False,,,,,,undisclosed,True,,100,True,,29000,21750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1006745,2026-08-12T00:22:06.440169+00:00
